Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
HIGH WORK PRESSURE,BECAUSE OF HIS ONES CARRIER ,LIMITED SLEEP,BECAUSE OF ONES FAMILY ATMOSPHERE,ANGRY ALL TIMES,BECAUSE OF HIS ONES BEHAVIOR,TO BE HAPPY,TO CHAT WITH FRIENDS,TO CHAT WITH LOVER
Deadlines,When I am working on a tight deadline. ,Money,When I am not sure if I am going to be able to cover my expenses.,Sleep,Not having enough sleep.,I am trying to better plan and organize so I am in control of my tasks.,I don't really have a strategy for this except making sure I have enough money.,Making sure I have enough sleep every day.
Money,I owe bills I cannot pay. ,Career,I should have a more fulfilling job. ,Weight,I should be slimmer because it affects my health. ,I go for long walks every day. ,I meditate 20 minutes a day. ,I listen to upbeat podcasts. 
Crowds,"Because of the amount of noice,and people at close proximity",Loud Music,As I can't hear anyone,Conflict,As don't know how to resolve,Tend to take routes/public transport with least crowds,Choose pubs/bars without loud music,Avoid conflicts with other people
Money,Worrying a bout having enough money to pay bills,Children,Worry about if they are going to be good in school having a behaviour problem.,Adult children,Worry about if they are gonna make it home safe.,I try to take things one day at a time,I try to think possitive thoughts and prepare the child for the day ahead.,I have them call me when they go any where so I know they made it safe.
Cooking for a dinner party,I cannot cook well and I dread cooking for anyone,Waiting for my son to come home at night.,I fear that something has happened to him,When my children do not listen to me.,I hate telling them to stop arguing with each other,Cooking the same meal I know,Try to think that all will be fine,I get my husband to help me
Not enough money to make ends meet causes me stress.,My explanation is that money is needed to pay bills and having not enough is hard.,A sick pet causes me stress.  ,A sick pet causes me stress because I love my pets and it is hard to see them ill.,A car with needed repairs causes me stress.,This causes me stress becaue I do not have enough money to pay for the repairs.,Doing extra work reduces this stress.,Taking the pet to the vet reduces this stress.,Looking for an honest mechanic reduces this stress.
Diet,I don't know the right foods to eat to lose weight,moving,I don't like moving with the military.,Money,I would like to pay our bills off but need a better job.,Working out helps my anxiety.,Taking my anxiety medicine helps me feel better.,Drinking water helps me feel full and I don't eat as much bad food.
 rude people,When people are rude and unkind to me it stresses me out.,utility bills,Inability to pay utility bills on time stresses me out,health problems,When symptoms from a health condidtion arise it streses me out,I do yoga to to reduce my stress levels.,I read my Bible and pray every day to reduce my stress levels,I watch a comedy on Netfix to reduce my stress levels
My work is the largest stressor in my life.,I am active duty military and being away from family up to a year at a time is hard.,My spouse provides additional stress.,My spouse is unemployed and refuses to go to school or work.,My oldest son is a cause of stress in my life.,My oldest son is having an extremely hard time with learning in school.,I focus on the future and realize this job will not last forever.,I work for Amazon Mturk and other companies to bring in additional cash.,I have worked with my son's teacher to get him the additional help he needs.
Financial stress,Job insecurity,Health stress,Unable to spend time and money for hospitals,Stress about future,Unable to predict the future.,Improving qualifications for good job,Trying to maintain good healthy habits,Positive approach towards future
work,I tend to work too hard and try accomplishing an excessive amount of tasks.,health,I could weigh less and work out more to shape my body and be healthier,motivation,I need to get better at being independent and look for my own home.,Attempt to work fewer hours and leave more responsibilities to others.,Exercise more frequently and eat less unhealthy foods.,Reach out to housing in the area and see what the rates are.
family issues,kids fighting,money,lack of it,bad history,,smoke ciggarettes,try not to worry,"dont think about it,block it out"
career,i have no job,children,education,health,regular,take it easy,take it easy,take it easy
family demands,"there is always something going on here, somebody needs me to do something I can't do or be somewhere I can't be",work demands,clients expect me to get them out of trouble that they shouldn't have gotten into to begin with and Johnnie Cochran couldn't save half of these people,my personal demands,I hate to be less than perfect at anything so I'm constantly pushing myself to do more with what I have,"Try to anticipate what's going to be required of me beforehand so I'm ready for it, and always remember to be malleable","I go into every client meeting knowing that I can't work miracles and tell them upfront what I hope I can do, what I will try to do, but also what I expect to happen",I mediate and exercise daily to take my body and mind away from my crazy drive to do more
Noise,Noise and unwanted sounds are stressing me when I'm at home.,Boredom,Being bored and having nothing to do stress me. Unless I choose to do nothing on purpose for chilling.,Money problems,"People say ""money can't buy happiness"", but having not enough is a perpetual source of stress for me.","Going out, putting headphones, using earplugs.",Trying to stay active and learn new stuffs.,Looking for way to reduce my expenses and doing micro-works on the web.
wife,nagging,child,neediness,stock market,money worries,love my wife,nurture child,make more $
Work,Work can be a stressful environnement if your boss is not happy and always yelling,Results,The results of medical exams for example are very stressful,Fighting with a loved one,Fearing to loose that person,Try not to take it personnaly,Try to think that there is nothing that can be done about it anyway,Try to fix things so we don't have to fight anymore
Being late,I find being late the most stressful thing.  ,work,meeting tight deadlines stresses me out.  ,Financial,"Worries about finances, incoming bills and how they are going to be paid etc","I really struggle to deal with this.  If it is down to traffic and things that are out of my control, then I am generally ok with it and can tell myself there is nothing I can do to affect the situation. If it is down to me or I am delayed because I am say waiting for my kids to get out of the house I find it really hard to deal with.",I try to plan out what I have to do in a list and order it in the priority things need to be done.  If there are quick wins that can be achieved by doing som of the less priority jobs first I will do that as seeing crossed off items on the list motivates me and makes me feel positive that I can get through it all.,I usually try and find different ways to generate additional money.
anger,angry when someone does a wrong thing,see someone smoking,someone smoking in front of public,see someone stealing,stealing items from neighbour,cooldown the mind,advise not to smoke in public,advise not to steal
Work,When my employer piles on task after task with no regard for how long it takes to finish them,Dentistry.,"I have a fear of dentists, because as a child I had a succession of incompetent ones that caused me a lot of pain.",Family Health Issues,One of my family embers is currently suffering from all around deteriorating health and I worry about how I am going to help him deal with it.,I work as hard and try to complete all tasks assigned to me as quickly and efficiently as possible.,I try to think happy thoughts and distract myself while the dentist does their work,I make and implement concrete plans to deal with my family member's health issues.
Finances,Making sure we have enough money to live comfortably and pay all of our debts.,Kids,"Making sure they are well adjusted, well mannered, and properly educated.",Housework,Running a household and trying to fit in time for rest,I reduce stress in finances by sticking to a budget.,I make sure my kids are well rounded by spending quality time with them.,I reduce stress in housework by having a quarterly house cleaner.
People behavior,I get stressed when people are impolite and aggressive.,Children behavior,I get stress whenever I'm close to children.,Money issues,I get stress when I look at my bank account balance.,I try not to deal with certain people.,I avoid being close to children.,I drink tea while looking at my balance.
call offs,when an employee calls off work,house messy,when I come home and there is stuff everywhere,money,when I know I have to watch money closely,try to get the shift covered,get my house in order and ask others to help,cut my spending and start doing things like MTurk more
bad organization at work,because we can't solve support requests ,complains and shouts for not serious problems,I hate violence be nervous for nothing,not having enough time for me,because I can't always think to my job or problems,I do what I can at work and I try to ignore complains for bad organization of the group,I go away and ignore as far as I can ,I take the time I need when I need to relax
Wasting time,Lack of productivity feels depressing and pointless ,Health related Issues,"Enjoy sports. It's a good outlet and allows me to have fun, frustrating and depressing when you can't do that due to pains and injuries",Meaningless work,Feel there is more to life than doing something pointless in the grand scheme of things,Try to plan my day with something useful and productive ,"Tend to injuries and pains with supplements, stretches, planning around injury etc.",Try to find meaningful work
Money,"The week our mortgage is due, having enough money  ",Family,My mother in law needing constant attention ,Work,Making sure I work enough every week,I make a schedule ,I make sure I talk with my husband ,I take time for myself when I can. 
i have a phobia of heights,i cant go up pass the 10 th floor of any building will get panic attack,sporting events,if the seats are to far up i panic feels very stressful,airplanes,i need to relax when i know i am traveling by plane,i travel with  a love one who I feel relaxes me,I avoid the heights and planes,will travel by train or will take a shot of tequila before boarding the plane
family,chaos of grandchildren running around can be stressful,traffic,"gridlock on the interstate can be stressful, especially if I am low on gas",finances,unexpected expenses can cause stress,remove myself from the situation for a quiet minute,listen to the radio,plan a strategy to address additional bills
money,is there enough?,health,I stress about my long-term health,relationship,I worry if I'm fully invested,spend less,eat better,communicate with my partner
talking,i dont feel comfortable talking to most people,large vehicle,im terrified im going to hit something while driving a big car,future,no clue where im going,i exercise regularly,i take weed to calm down,i got out to eat
Family problems,My own job is to get my family problems,My childrens,"When my kids fall, they make a lot of noise",work,My work will be more difficult,finance,games ,Reduced my works
finances,I worry about having enough money,family drama,We have some melodramatic grandchildren,holidays,I'm always stressed about everyone's happiness during holidays.,I get up early and work hard.,I avoid phone calls that may lead to stressful conversations.,I don't have a good strategy for this one.
my partner,hes a control freak,my daughter,she has adhd,no money,i don't have a job,I usually just cry alone in the bathroom at night.,There is really nothing else. ,There is no time for me ever.
work,people dont do their jobs,money,i have a lot of debt and dont make a lot of money,kids,sometimes you just need a break,i just breathe,i laugh ,i walk away
work,Having things done on time gives me a lot of stress.,Money,Not earning too much money to buy things I want gives me a lot of stress.,Family,Taking care of family relations gives me a lot of stress.,"I try to be more organized, set up daily goals.",I try not to waste that much money.,I try to spend more time with family.
Getting bad results,"not getting the expected result in job, test result, etc",money,When I dont have almost any money left in my bank account,Working or studying too long,"the longer the duration, the more stress","doing other activity, i.e. sport, reading",saving money up,take a long rest or short rests inbetween work or study
Work,Sometimes the work load is too much to handle,Childcare,I have three really small kids and need constant attention,Finances,Right now I'm the only one working so money is a little tight,Plan ahead and prepare things more effectively,Take breaks,Plan carefully all the expenses
Money,Not enough to do what I want to,Family,Living with dysfunctional people,Illness,Recovering from,Work more,Planning to move out,Taking good care of myself
Work,I feel stress because of uncertainty around the security of my job.,Time Management,"I feel busy and rushed, which leads me to stress about getting everything done.",Finances,"Even though I am somewhat financially secure, I still worry about my financial status",I try to calm myself by putting my worries in perspective and challenging negative thoughts.,I regularly exercise to relieve physical and mental stress,I sometimes meditate or do other relaxation techniques
Deadlines,Projects due at work,Elder care,caring for an elderly parent who lives with me,bills,Not enough money coming in,Drink beer,Work on Turk,work in the garden
My kids,They are 1 and 3 and require so much work that I often feel depleted and stressed.,My sister,She is mentally ill and often makes poor choices,My husband's stress,His stress at work often becomes my stress,I excercise almost every day,I try to take an hour a day to disconnect and calm down,I call my friends to talk it out
